ID,A,B,C,D,E,F,G,H,I,J,Time
15403_12_1558061230588805730,0,204,206,0,39,0,18,0,0,0,153193796
15403_12_1558061230775992593,0,205,203,0,37,0,19,0,0,0,134821279
15403_12_1558061230952596083,0,201,202,0,32,0,15,0,0,0,133516908
15403_12_1558061231086135714,0,200,204,0,33,0,14,0,0,0,147460556
15403_12_1558061231262997763,0,195,208,0,32,0,9,0,0,0,155488325
15403_12_1558061231456110642,0,200,202,0,31,0,14,0,0,0,106009053
15403_12_1558061231623956919,0,210,191,0,30,0,24,0,0,0,49819390
15403_12_1558061231751378316,0,211,195,0,35,0,25,0,0,0,99353144
15403_12_1558061231930312875,0,213,190,0,32,0,27,0,0,0,89353587
15403_12_1558061232019751788,0,199,203,0,31,0,13,0,0,0,137351830
15403_12_1558061232208069442,0,205,198,0,32,0,18,0,0,0,112499828
15403_12_1558061232320630166,0,203,202,0,34,0,17,0,0,0,183329426
15403_12_1558061232503983363,0,205,211,0,45,0,19,0,0,0,170438656
15403_12_1558061232735794331,0,207,200,0,36,0,21,0,0,0,112690724
15403_12_1558061232848514660,0,200,202,0,31,0,14,0,0,0,105651023
15403_12_1558061233004113243,0,421,424,0,36,0,16,0,0,0,168595128
15403_12_1558061233295979273,0,209,193,0,31,0,23,0,0,0,100804727
15403_12_1558061233443385115,0,215,190,0,34,0,28,0,0,0,96893343
15403_12_1558061233540302112,0,204,203,0,36,0,16,0,0,0,202236227
15403_12_1558061233843407885,0,215,237,0,81,0,26,0,0,0,137837080
15403_12_1558061234034576250,0,205,201,0,35,0,19,0,0,0,98915536
15403_12_1558061234133516207,0,202,201,0,32,0,16,0,0,0,185758733
15403_12_1558061234376794912,0,204,198,0,31,0,18,0,0,0,93927052
15403_12_1558061234527897745,0,207,198,0,34,0,21,0,0,0,115433075
15403_12_1558061234744670198,0,207,195,0,31,0,21,0,0,0,100356142
15403_12_1558061234845065607,0,209,197,0,35,0,22,0,0,0,99823466
15403_12_1558061234998582089,0,211,226,0,66,0,23,0,0,0,109133098
15403_12_1558061235148094292,0,212,226,0,67,0,26,0,0,0,124220860
15403_12_1558061235272341054,0,208,227,0,64,0,22,0,0,0,226741458
15403_12_1558061235549896278,0,207,198,0,34,0,20,0,0,0,77070417
